Accession Number,Collector Number,Genus,Species,Habitat,Determined By,UUID
A87283,PTM3,Calliarthron,cheilosporioides,"Epilithic, very low intertidal, ""Coralline Bench""",Patrick T. Martone,8E545098-068B-4242-A21A-EF23CA21A3A8
A87284,PTM4,Calliarthron,tuberculosum,"Epilithic, low intertidal, ""Coralline Bench"", adjacent to C. cheilosporioides",Patrick T. Martone,7F3FE302-5AEB-1245-9F15-CCADC9648264
A87285,PTM6,Calliarthron,tuberculosum,"Epilithic, mid-intertidal tidepool with 4 dynamometers",Patrick T. Martone,098C36D0-F3B5-2343-8FC0-1D4CD9B5D7E4
A87286,PTM7,Calliarthron,cheilosporioides,"Epilithic, mid-intertidal tidepool with 4 dynamometers",Patrick T. Martone,4BF76F9C-DE43-4442-8A3C-88B35F42E300
A87287,PTM28,Calliarthron,cheilosporioides,"Low intertidal, adjacent to classic C. cheilosporioides",Patrick T. Martone,17CC62AF-0A03-6743-A937-86385C722B31
A87288,PTM29,Calliarthron,tuberculosum,"Upper low intertidal, above C. cheilosporioides, forming low dense monospecific clusters",Patrick T. Martone,9F31CA3D-FD50-9349-AB0A-590A91355002
A87289,PTM30,Calliarthron,cheilosporioides,"Epilithic, -0.5 to 0.0 m, down from 4 dynamometer tidepool",Patrick T. Martone,36F44218-8DF3-384C-9FCA-21168F477DEF
A87290,PTM31,Calliarthron,tuberculosum,"Epilithic, -0.5 to 0.0 m, down from 4 dynamometer tidepool",Patrick T. Martone,675B956C-3E87-BD43-A776-4966BDE497E2
A87291,PTM32,Calliarthron,cheilosporioides,"Epilithic, -0.5 to 0.0 m, down from 4 dynamometer tidepool",Patrick T. Martone,99A0C801-5A84-744E-943D-2BA036214E1B
A87292,PTM39,Calliarthron,tuberculosum,"Epilithic, -0.5 to 0.0 m, down from 4 dynamometer tidepool",Patrick T. Martone,676473B8-649A-B443-8718-40A4EC9E3335
A87293,PTM40,Calliarthron,tuberculosum,"Epilithic, -0.5 to 0.0 m, down from 4 dynamometer tidepool",Patrick T. Martone,5E87FFF9-D1ED-B441-ADF3-648CF9D0BD76
A87294,PTM41,Calliarthron,tuberculosum,"Epilithic, -0.5 to 0.0 m, down from 4 dynamometer tidepool",Patrick T. Martone,9DBEBDB5-40BE-8F41-B20B-AA3DACF37142
A87295,PTM42,Calliarthron,tuberculosum,"Epilithic, -0.5 to 0.0 m, down from 4 dynamometer tidepool",Patrick T. Martone,2247A402-3254-394B-A16F-D863ECF12FD8
A87296,PTM44,Calliarthron,tuberculosum,"Epilithic, low intertidal, east side of Point",Patrick T. Martone,122FE9B1-F4E7-6945-9567-15924C64B7F0
A87297,PTM47,Calliarthron,cheilosporioides,"Epilithic, subtidal, near Denny wavemeter",Patrick T. Martone,F3EDDA3D-F4A2-1243-B233-77D787487FC2
A87298,PTM48,Calliarthron,cheilosporioides,"Epilithic, subtidal, near Denny wavemeter",Patrick T. Martone,A3B3EF8C-7E71-A74A-ADD1-873C57ADAFBF
A87299,PTM49,Calliarthron,cheilosporioides,Epilithic ,Patrick T. Martone,B5CDEBF8-69E3-564E-A975-1B217BCF1D9D
A87300,PTM50,Calliarthron,tuberculosum,"Epilithic, mid intertidal, near ""Coralline bench""",Patrick T. Martone,00DED7CD-1797-0345-B897-7A941D4BE409
A87301,PTM51,Calliarthron,tuberculosum,"Epilithic, mid intertidal, near ""Coralline bench""",Patrick T. Martone,6BD83D39-685F-634D-82F5-E8864DE4C9A9
A87302,PTM52,Calliarthron,tuberculosum,Epilithic ,Patrick T. Martone,70E7D0BC-0837-E547-B8F3-9ACBC59C5C1B
A87303,PTM53,Calliarthron,cheilosporioides,Epilithic ,Patrick T. Martone,B333B03A-EE4C-5D4F-9E69-A198DA920D6F
A87304,PTM54,Calliarthron,tuberculosum,Epilithic ,Patrick T. Martone,7C6D0CC0-09C2-BF40-9A95-2EBC351616C4
A87305,PTM55,Calliarthron,tuberculosum,Epilithic ,Patrick T. Martone,8D904C21-5DE3-DA4C-8FA4-393BAED214C2
A87306,PTM56,Calliarthron,tuberculosum,Epilithic ,Patrick T. Martone,72E26158-BD1D-F446-885C-62ECA9212A3F
A87307,PTM57,Calliarthron,tuberculosum,Epilithic ,Patrick T. Martone,0128D383-38FB-E94C-BAA6-5B64EBA21D9E
A87308,PTM58,Calliarthron,tuberculosum,Epilithic ,Patrick T. Martone,B82B6310-F477-114C-AD5A-CDDB6DD1625D
A87309,PTM59,Calliarthron,cheilosporioides,Epilithic ,Patrick T. Martone,261747DB-3478-BA4F-A07D-7EB26F05C935
A87310,PTM60,Calliarthron,tuberculosum,Epilithic ,Patrick T. Martone,6B8F511F-6224-AB4D-8B59-20D1D4FF7CC6
A87311,PTM61,Calliarthron,tuberculosum,"Epilithic, low intertidal, ""Coralline Bench""",Patrick T. Martone,CD71C078-15A5-B74A-941D-F222404C89F0
A87312,PTM62,Calliarthron,cheilosporioides,Epilithic ,Patrick T. Martone,E028FF56-4B1D-AD47-AFF1-A6BB476B793F
A87313,PTM63,Calliarthron,tuberculosum,Epilithic ,Patrick T. Martone,663F23D6-DB52-0E49-8F30-7A77251A3A44
A87314,PTM64,Calliarthron,tuberculosum,Epilithic ,Patrick T. Martone,C124F589-8B37-C945-ABD2-0FE4310202F0
